Organisasjonsnummer,Navn,Antall Ansatte,Næringskoder,Kommune,Adresse,Overordnet Enhet,Driftsresultat Overordnet Enhet,Vedtektsfestet Formål,Aktivitet,Overordnet Enhet Navn
930126829,ACE PADEL MIDTUN AS,5,93.130,BERGEN,Stokkedalen 40,930095435,-2146591.00,"Drift av og utleie av idrettsanlegg med baner og utstyr relatert til, padel-tennis og øvrige aktiviteter innenfor trenings- og, fritidsaktivitet, salg av varer som naturlig hører sammen, med dette, samt deltakelse i andre selskaper med lignende virksomhet, eller relatert virksomhet inkludert kjøp og salg av aksjer.",Treningssenter.,ACE PADEL MIDTUN AS
988006629,ACTIC NORGE AS AVD BERGEN,,93.130,BERGEN,Teatergaten 5,879438462,747952.00,"Drift av gym, solarier, handel, kjøp og salg av aksjer og, verdipapirer, investering, eie fast eiendom, utleie og annen, virksomhet som naturlig hører inn under det samme.","Drift av gym, solarier, handel, kjøp og salg av aksjer og verdi-, papirer, investering, eie fast eiendom, utleie og annen virksomhet, som naturlig hører inn under det samme.",ACTIC NORGE AS
924930160,AMBITIONS HOLDING AS,,93.130,BERGEN,Hardangervegen 871,924910356,47370.00,"Kjøp, salg og forvaltning av eierandeler i andre selskaper og hva, derved står i sammenheng.",Holdingselskap.,AMBITIONS HOLDING AS
920959350,ANTERIOR FITNESS AS,,93.130,BERGEN,Storaneset 12,920825214,41820.00,"Drive treningssenter med tilhørende varesalg, samt personlig trening, og andre konsulenttjenester og undervisning tilknyttet trening.","Drive treningssenter med tilhørende varesalg, samt personlig trening, og andre konsulenttjenester og undervisning tilknyttet trening.",ANTERIOR FITNESS AS
818150342,BALESTRAND INVEST AS AVD BERGEN,,93.130,BERGEN,Løvåsveien 20,816336872,-62047.00,Investere i andre selskaper og alt annet som står i denne forbindelse.,Investere i andre selskaper og alt annet som står i denne forbindelse.,BALESTRAND INVEST AS
996120473,BARRY'S BOOTCAMP SCANDINAVIA AS AVD EKERDALEN,,93.130,BERGEN,Ekerdalen 11G,923405844,-12519681.00,"Salg av formatfranchisesystem, tjenester innen trening og helse og, alle andre produkter og tjenester som faller naturlig sammen med, dette. Herunder kjøp og salg av aksjer eller på annen måte gjøre seg, interessert i andre foretagender.","Treningsvirksomhet, helse og velvære. Salg av klippekort, medlemskap, og andre treningsrelaterte tjenester. Salg av varer i form av, treningsklær, vann, smoothies og annet som faller naturlig inn under, dette. I tillegg vil det selges franchise av treningskonsept.",BB NORWAY AS
996646432,BB NORWAY AS AVD BERGEN,44,93.130,BERGEN,Nonnesetergaten 4,923405844,-12519681.00,"Salg av formatfranchisesystem, tjenester innen trening og helse og, alle andre produkter og tjenester som faller naturlig sammen med, dette. Herunder kjøp og salg av aksjer eller på annen måte gjøre seg, interessert i andre foretagender.","Treningsvirksomhet, helse og velvære. Salg av klippekort, medlemskap, og andre treningsrelaterte tjenester. Salg av varer i form av, treningsklær, vann, smoothies og annet som faller naturlig inn under, dette. I tillegg vil det selges franchise av treningskonsept.",BB NORWAY AS
812626752,BERGEN FITNESS AS,,93.130,BERGEN,Hegrenesveien 2,912518957,382774.00,Treningssenter.,Treningssenter.,BERGEN FITNESS AS
919358564,BERGEN FITNESS MIDTUN AS,,93.130,BERGEN,Sandbrekkevegen 96,919264039,655365.00,Drive treningssenter og produkter/tjenester naturlig hører til dette.,Treningssenter,BERGEN FITNESS MIDTUN AS
932919621,BERGEN FITNESS SENTRUM AS,,93.130,BERGEN,Torggaten 7,932882507,Feil ved henting,Treningssenter.,Treningssenter.,BERGEN FITNESS SENTRUM AS
912255751,BERGEN PERFORMANCE CENTER AS,16,93.130,BERGEN,Lyderhornsveien 287,912202305,-338064.00,"Salg av helsestudiotjenester og andre produkter som naturlig faller, sammen med dette, herunder å delta i andre selskaper med lignende, virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg, interessert i andre foretagender.","Salg av helsestudiotjenester og andre produkter som naturlig faller, sammen med dette, herunder å delta i andre selskaper med lignende, virksomhet, kjøp og salg av aksjer, eller på annen måte gjøre seg, interessert i andre foretagender.",BERGEN PERFORMANCE CENTER AS
993519898,BERGEN TRENING & HELSE AS,57,93.130,BERGEN,Totlandsvegen 16A,913789466,69693.00,"Drift, eie, forvalte og erverve treningssenter, helserelaterte, tjenester og alt som hører inn under dette. Selskapet kan videre, handle i verdipapirer, samt drive utleie av egen eller fast eiendom, ellers.","Treningssenter, helserelaterte tjenester og alt som hører innunder, dette. Handel i verdipapirer, utleie av egen eller fast eiendom, ellers.",BERGEN TRENING & HELSE AS
934152042,BFM AS,,93.130,BERGEN,Sandbrekkevegen 96,934135830,Feil ved henting,"Å drive treningssenter, samt kjøp og salg av produkter og tjenester, som naturlig hører til dette.",Treningssenter.,BFM AS
934168453,BÅDSTANGEN FYSIOTERAPI OG TRENING,,93.130,BERGEN,St. Torfinns vei 7,934026322,Feil ved henting,N/A,Treningssenter.,BÅDSTANGEN FYSIOTERAPI OG TRENING
914714966,CERTUS AS,,93.130,BERGEN,Haugeveien 1B,997710142,134546.00,"Eie og investere i aksjer, treningssentre, eiendom, andre, verdipapirer, samt alt hva hermed står i forbindelse.","Eie og investere i aksjer, treningssentre, eiendom, andre, verdipapirer.",CERTUS AS
913783867,ENERGI TRENING AS,6,93.130,BERGEN,Gravdalsveien 4,913724917,-424180.00,"Selge tjenester innen trening og andre produkter og tjenester som, naturlig faller sammen med dette, herunder å delta i andre selskaper, for å oppnå formålet, kjøp og salg av aksjer eller på annen måte gjøre, seg interessert i andre foretagende.",Drift av treningssenter.,ENERGI TRENING AS
